file_name,page_num,item_order,text
LM10_E3872_12_31_2012_537734.pdf,3,1,"3,500"
LM10_E3872_12_31_2012_537734.pdf,3,2,"91,521"
LM10_E3872_12_31_2012_537734.pdf,3,3,"48,477,"
LM10_E4343_12_31_2006_317050.pdf,3,1,"$11,143"
LM10_E4343_12_31_2006_317050.pdf,3,2,"$13,127"
LM10_E4343_12_31_2006_317050.pdf,3,3,"13,829"
LM10_E4343_12_31_2006_317050.pdf,5,1,"$15,350"
LM10_E4343_12_31_2006_317050.pdf,5,2,"$18,642"
LM10_E4343_12_31_2006_317050.pdf,5,3,"8,211"
LM10_E4343_12_31_2006_317050.pdf,7,1,"$4,586"
LM10_E4343_12_31_2006_317050.pdf,7,2,"$8,253"
LM10_E4343_12_31_2006_317050.pdf,7,3,"516,069"
LM10_E4514_11_30_2005_290494.pdf,3,1,"($151,369.14"
LM10_E4514_11_30_2005_290494.pdf,3,2,"$66,262.79"
LM10_E4647_12_31_2017_674040.pdf,3,1,800
LM10_E4647_12_31_2017_674040.pdf,4,1,400
LM10_E4647_12_31_2017_674040.pdf,5,1,275
LM10_E4647_12_31_2017_674040.pdf,6,1,380
LM10_E4647_12_31_2017_674040.pdf,7,1,300
LM10_E4647_12_31_2017_674040.pdf,8,1,400
LM10_E4647_12_31_2017_674040.pdf,9,1,600
LM10_E4647_12_31_2017_674040.pdf,10,1,300
LM10_E4647_12_31_2017_674040.pdf,11,1,950
LM10_E4657_07_31_2015_597503.pdf,3,1,116
LM10_E4657_07_31_2015_597503.pdf,3,2,116
LM10_E4657_07_31_2015_597503.pdf,3,3,116
LM10_E4657_07_31_2015_597503.pdf,3,4,116
LM10_E4657_07_31_2015_597503.pdf,3,5,0
LM10_E4708_12_31_2005.pdf,3,1,107
LM10_E4708_12_31_2005.pdf,3,2,431
LM10_E4708_12_31_2005.pdf,3,3,0
LM10_E4708_12_31_2005.pdf,3,4,0
LM10_E4708_12_31_2005.pdf,3,5,0
LM10_E4708_12_31_2005.pdf,4,1,591
LM10_E4708_12_31_2005.pdf,4,2,0
LM10_E4708_12_31_2005.pdf,4,3,0
LM10_E4708_12_31_2005.pdf,4,4,0
LM10_E4708_12_31_2005.pdf,4,5,o
LM10_E4708_12_31_2005.pdf,5,1,"88,944"
LM10_E4708_12_31_2005.pdf,5,2,0
LM10_E4708_12_31_2005.pdf,5,3,0
LM10_E4708_12_31_2005.pdf,5,4,0
LM10_E4708_12_31_2005.pdf,5,5,0
LM10_E4721_12_31_2013_552606.pdf,3,1,50
LM10_E4721_12_31_2013_552606.pdf,3,2,300
LM10_E4721_12_31_2013_552606.pdf,3,3,596
LM10_E4721_12_31_2013_552606.pdf,3,4,212
LM10_E4721_12_31_2013_552606.pdf,3,5,447
LM10_E4721_12_31_2013_552606.pdf,4,1,213
LM10_E4721_12_31_2013_552606.pdf,5,1,"1,625"
LM10_E4721_12_31_2013_552606.pdf,5,2,596
LM10_E4721_12_31_2013_552606.pdf,5,3,343.
LM10_E4721_12_31_2013_552606.pdf,5,4,802
LM10_E4721_12_31_2013_552606.pdf,5,5,447
LM10_E4721_12_31_2013_552606.pdf,6,1,"7,40"
LM10_E4721_12_31_2013_552606.pdf,6,2,.447
LM10_E4721_12_31_2013_552606.pdf,6,3,"1,259"
LM10_E4721_12_31_2013_552606.pdf,6,4,567
LM10_E4721_12_31_2013_552606.pdf,7,1,"2,365"
LM10_E4721_12_31_2013_552606.pdf,7,2,143
LM10_E4721_12_31_2013_552606.pdf,7,3,"447,"
LM10_E4721_12_31_2013_552606.pdf,7,4,157
LM10_E4721_12_31_2013_552606.pdf,7,5,447
LM10_E4721_12_31_2013_552606.pdf,9,1,"469,"
LM10_E4721_12_31_2013_552606.pdf,9,2,"2,365"
LM10_E4721_12_31_2013_552606.pdf,9,3,217;
LM10_E4721_12_31_2013_552606.pdf,9,4,596
LM10_E4721_12_31_2013_552606.pdf,9,5,728
LM10_E4721_12_31_2013_552606.pdf,10,1,447
LM10_E4721_12_31_2013_552606.pdf,10,2,278
LM10_E4721_12_31_2013_552606.pdf,10,3,628
LM10_E4721_12_31_2013_552606.pdf,10,4,263
LM10_E4721_12_31_2013_552606.pdf,10,5,447
LM10_E4721_12_31_2013_552606.pdf,10,6,"1,005"
LM10_E4721_12_31_2013_552606.pdf,11,1,480
LM10_E4721_12_31_2013_552606.pdf,11,2,174
LM10_E4721_12_31_2013_552606.pdf,11,3,596
LM10_E4721_12_31_2013_552606.pdf,11,4,.157
LM10_E4721_12_31_2013_552606.pdf,11,5,105
LM10_E4721_12_31_2013_552606.pdf,12,1,745
LM10_E4721_12_31_2013_552606.pdf,12,2,532
LM10_E4721_12_31_2013_552606.pdf,12,3,135
LM10_E4721_12_31_2013_552606.pdf,12,4,447
LM10_E4773_12_31_2008_390130.pdf,3,1,825
LM10_E4773_12_31_2008_390130.pdf,3,2,700
LM10_E4773_12_31_2008_390130.pdf,3,3,"2,151"
LM10_E4773_12_31_2008_390130.pdf,6,1,800
LM10_E4773_12_31_2008_390130.pdf,6,2,"1,165"
LM10_E4773_12_31_2008_390130.pdf,6,3,6
LM10_E4787_09_30_2006_308953.pdf,3,1,"1,507"
LM10_E4787_09_30_2006_308953.pdf,3,2,514
